id,deleted,version,created_date,awarded_amount,awarded_duration,channel_code,code_ls,fees,label,loan_contract_base64,partner_code,pki_request_id,rate,requested_amount,requested_deadlines,requested_duration,score,status,total_loan_amount,bank_signed_contract_id,fk_client,client_signed_contract_id,other_revenue,people_in_charge_of,revenue,activity_sector_id,employer_contract_type_id,marital_status_id,profession_id,studies_level_id,eservice_tracking_id,client_signed_contract_ged_id,credit_wallet_request_uid,credit_wallet_transaction_ref,ceiling_updated,rejection_reason,annual_rate,annual_tci,m2t_remuneration,net_annual_rate,effective_annual_rate_of_charge,funds_unlock_retry_count,nb_ops_paie_m1,nb_ops_paie_m2,nb_ops_paie_m3,nb_ops_paie_m4,nb_ops_paie_m5,nb_ops_paie_m6,nb_vir_recu_in_m1,nb_vir_recu_in_m2,nb_vir_recu_in_m3,nb_vir_recu_in_m4,nb_vir_recu_in_m5,nb_vir_recu_in_m6,mt_moy_hebdo_3m,contract_nature,moy_mens_pay_telec_1an,moy_mens_pay_eauelec_1an,moy_mens_trans_emis_1an,moy_mens_trans_recus_1an,nb_fact_oay_horsrecouv_1an,nb_fact_oay_1an,awarded_deadlines,rejection_flag,produit,account_active,cdg_creation_date,cdg_nb_bourses,cdg_total_amount,cdgmad_creation_date,cdgmad_gtrx_etat,cdgmad_gtrx_mnt,cdgmad_gtrx_num,last_amount,last_amount_date,code_es
da989b64-5988-4335-a108-c535c415a181,f,2021-12-02 16:44:02.502,2021-12-02 16:43:42.506821,200,3,012006,84100257203896090010,7.7,,,011,76c547ba-ca18-4f09-b823-b8d16472eb27,13.6,200,1,3,6,BANK_SIGNED_CONTRACT,207.95,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8098148,,,,f,,13.6,1.6,1,11,0,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
ee24ddbf-2e64-4e79-aa95-0441448cfc9c,f,2021-12-22 14:10:48.712,2021-12-22 14:10:48.712128,,,012006,,,,,011,,,200,1,5,,CREATED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8185757,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
141dc475-6959-461b-86a1-c6548bd3d97f,f,2021-11-23 14:14:47.315,2021-11-23 14:13:38.464054,200,5,012006,84100549366664000007,7.7,,,011,bc8d111e-f781-4c06-920b-73a8cde1a7d4,13.6,200,1,5,6,FUNDS_UNLOCKED,208.12,,2c6d3bac-39d2-4edb-865c-4f5fe0646190,,,,,,,,,,7942056,09031381804c17f4,6f82dee0-d3be-4145-820a-4c9aabd3f60a,N00000000133,t,,13.6,1.6,1,11,0,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
f2f80fef-33e5-4dd9-85ff-448c92423af8,f,2021-12-02 16:49:59.862,2021-12-02 16:49:47.355308,200,3,012006,84100257203896090011,7.7,,,011,0e048576-7e72-4cda-a09f-a2f50d1d4856,13.6,200,1,3,6,BANK_SIGNED_CONTRACT,207.95,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8098268,,,,f,,13.6,1.6,1,11,0,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
ea13e7c5-8511-4dbc-bc45-b6fbff9c6a89,f,2021-12-08 14:53:37.218,2021-12-08 14:53:37.197831,,,012006,,,,,011,,,200,,,,REJECTED,,,6ae70091-3f7b-4e03-a765-44aa81bca456,,,,,,,,,,8133081,,,,f,loan.already.in.progress,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
3fd3f590-01bb-4cf8-b995-90f084cb914c,f,2021-12-13 08:29:22.055,2021-12-13 08:29:22.053606,,,012006,,,,,011,,,200,1,5,,CREATED,,,b251fa2c-0cc7-4a77-a1ba-bd0080563daf,,,,,,,,,,8163223,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
26d2fe09-e2f9-4f68-a588-ff87cefb74ac,f,2021-11-16 12:11:03.234,2021-11-16 12:11:01.491485,200,5,012006,84100549366664000004,7.7,,,011,,13.6,200,1,5,6,CREATED,208.12,,2c6d3bac-39d2-4edb-865c-4f5fe0646190,,,,,,,,,,7858611,,,,f,,13.6,1.6,1,11,0,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
f6a15ba2-6423-497a-a705-13270f7f9103,f,2021-09-27 15:54:42.726,2021-09-27 15:54:42.708241,200,3,012006,,,,,011,,,200,1,3,6,REJECTED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,6861944,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
8178315c-72e9-40e7-a1c3-18f86ad43779,f,2023-10-30 16:14:39.062,2023-10-30 16:14:39.061875,,,012006,,,,,011,,,200,1,90,,CREATED,,,26bcf6e6-3f52-4d27-93c3-8a3cd1f7e42a,,,,,,,,,,660237,,,,f,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,TAYSSIR,t,2022-02-01,3,1000,2023-08-01,Valide,1000,537819812,1000,2023-08-01,
88ffc167-2b2c-4160-8881-1b9835a6167f,f,2021-09-27 15:50:32.991,2021-09-27 15:50:32.964482,200,3,012006,,,,,011,,,200,1,3,6,REJECTED,,,253d789b-eda1-4522-b9d5-193d0055bce6,,,,,,,,,,6861337,,,,f,insufficient.score,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,1,,,f,,,,,,,,,,
